Food_name,Calories,Protein,Carbohydrates,Fats,Meal_type,is_vegan,is_vegetarian,Food_type
Oatmeal with berries and nuts,320,15,48,12,Breakfast,TRUE,TRUE,Global
Tofu scramble with veggies,189,36,15,3.5,Breakfast,TRUE,TRUE,Global
Tofu and veggie breakfast burrito,226,20,70,4,Breakfast,TRUE,TRUE,Global
Greek yogurt with granola and fruit,283,14,44,20,Breakfast,TRUE,TRUE,Global
Scrambled eggs with whole wheat toast and avocado,133,12,22,1,Breakfast,FALSE,TRUE,Global
Protein pancakes with fruit and nuts,296,27,29,24,Breakfast,TRUE,TRUE,Global
Tofu and chickpea scramble,289,20,42,25,Breakfast,TRUE,TRUE,Global
Overnight oats with fruit and chia seeds,561,11,53,7,Breakfast,TRUE,TRUE,Global
Tofu scramble with vegetables,219,21,25,3,Breakfast,TRUE,TRUE,Global
Wholegrain toast with avocado,285,8.5,47,24,Breakfast,FALSE,FALSE,Global
Greek yogurt with granola,308,19,40,3,Breakfast,FALSE,TRUE,Global
Tofu and vegetable stir-fry,374,7.9,9,3.4,Breakfast,TRUE,TRUE,Global
Oatmeal with protein powder and fruit,250,34,49,25,Breakfast,TRUE,TRUE,Global
Eggs with wholegrain toast,304,14,39,50,Breakfast,FALSE,TRUE,Global
Greek yogurt with berries and granola,465,24.1,16.8,39,Breakfast,FALSE,TRUE,Global
Eggs with whole wheat toast and avocado,250,27,16,15.6,Breakfast,FALSE,TRUE,Global
Tofu scramble with vegetables and avocado,240,18,28,4,Breakfast,TRUE,TRUE,Global
Greek yogurt with fruit and granola,273,26.9,40,1.6,Breakfast,TRUE,TRUE,Global
Tofu scramble with spinach and avocado,300,18,45,13,Breakfast,TRUE,TRUE,Global
Scrambled eggs with whole wheat toast and fruit,169,27,17,6,Breakfast,TRUE,TRUE,Global
Oatmeal with berries and plant-based milk,380,19,42,11,Breakfast,TRUE,TRUE,Global
Oatmeal with fruit and nuts,199,39,19,19,Breakfast,TRUE,TRUE,Global
Tofu scramble with whole-wheat toast,1740,14,24,18,Breakfast,TRUE,TRUE,Global
Tofu and vegetable breakfast burrito,260,15,34,3,Breakfast,TRUE,TRUE,Global
Scrambled eggs with avocado and whole-wheat toast,423,29,24,26,Breakfast,FALSE,TRUE,Global
Overnight oats with chia seeds and fruit,260,7,25,10,Breakfast,TRUE,TRUE,Global
Pancakes with fruit and syrup,220,13.9,20,5,Breakfast,TRUE,TRUE,Global
Scrambled eggs with whole-wheat toast,465,35,55,19,Breakfast,FALSE,TRUE,Global
Tofu scramble with spinach and avocado toast,481,17,24,19,Breakfast,TRUE,TRUE,Global
Eggs with whole-wheat toast,263,13,46,20,Breakfast,FALSE,TRUE,Global
Quinoa porridge with fruit and nuts,442,20.1,62,19,Breakfast,TRUE,TRUE,Global
Tofu scramble with vegetables and whole-wheat toast,276,20.8,26,14,Breakfast,TRUE,TRUE,Global
Scrambled eggs with bacon and whole-wheat toast,560,31,40,14,Breakfast,FALSE,TRUE,Global
Oatmeal with protein powder and berries,222,25,48,29,Breakfast,TRUE,TRUE,Global
Eggs with whole-wheat toast and avocado,278,25.6,10.8,11.2,Breakfast,FALSE,TRUE,Global
Scrambled eggs with vegetables and whole-wheat toast,257,13.4,56,15.4,Breakfast,TRUE,TRUE,Global
Scrambled eggs with whole-wheat toast and avocado,375,11.5,43,27,Breakfast,FALSE,TRUE,Global
Tofu scramble with veggies and whole-wheat toast,300,27,34,32,Breakfast,TRUE,TRUE,Global
Overnight oats with fruit and nuts,425,16,87,10,Breakfast,TRUE,TRUE,Global
Greek yogurt with berries and nuts,389,13,44,21,Breakfast,TRUE,TRUE,Global
Tofu scramble with whole wheat toast and avocado,300,6.3,45,16.5,Breakfast,TRUE,TRUE,Global
Yogurt with fruit and granola,380,18,33,15,Breakfast,TRUE,TRUE,Global
Greek yogurt with berries and almonds,315,35,20,15,Breakfast,FALSE,TRUE,Global
Eggs with whole-wheat toast and bacon,355,19,42,9,Breakfast,FALSE,TRUE,Global
Scrambled tofu with whole-wheat toast and avocado,200,11,40,14,Breakfast,TRUE,TRUE,Global
Tofu and vegetable stir-fry with brown rice,1245,19,59,17,Breakfast,TRUE,TRUE,Global
Scrambled eggs with whole wheat toast,370,15,34,9,Breakfast,FALSE,TRUE,Global
Tofu and vegetable scramble with whole wheat toast,190,10,47,2,Breakfast,TRUE,TRUE,Global
Greek Yogurt with berries and granola,466,41,59,15,Breakfast,FALSE,TRUE,Global
Tofu omelet with spinach,547,35,55,9,Breakfast,TRUE,TRUE,Global
Greek yogurt with protein powder and fruit,320,21,34,14,Breakfast,TRUE,TRUE,Global
Tofu breakfast burrito with whole-wheat tortilla,320,14.6,25,12,Breakfast,TRUE,TRUE,Global
Protein pancakes with fruit and syrup,551,41,67,29,Breakfast,TRUE,TRUE,Global
Scrambled tofu with spinach and tomato,160,16,16,12,Breakfast,TRUE,TRUE,Global
Tofu scramble with vegetables and whole wheat toast,200,34,50,16,Breakfast,TRUE,TRUE,Global
Vegan overnight oats with berries,369,28,55,17,Breakfast,TRUE,TRUE,Global
Scrambled eggs with spinach and whole wheat toast,282,18.6,19,11,Breakfast,FALSE,TRUE,Global
Vegan overnight oats with chia seeds and berries,398,14,28,2,Breakfast,TRUE,TRUE,Global
Protein smoothie with fruit and spinach,256,29,31,16,Breakfast,TRUE,TRUE,Global
Yogurt parfait with granola and fruit,298,19,24,34,Breakfast,TRUE,TRUE,Global
1 cup oatmeal with berries and nuts,210,15,40,1.7,Breakfast,TRUE,TRUE,Global
Tofu scramble with whole-wheat toast and vegetables,346,24.2,54,15,Breakfast,TRUE,TRUE,Global
3 eggs with whole-wheat toast and avocado,334,15.5,46,20,Breakfast,FALSE,TRUE,Global
Yogurt with berries and granola,279,10,69,5.2,Breakfast,FALSE,TRUE,Global
Tofu scramble with avocado and whole-wheat toast,220,15,24,15,Breakfast,TRUE,TRUE,Global
Oatmeal with plant-based milk and fruit,486,33,23,7,Breakfast,TRUE,TRUE,Global
Yogurt with granola and fruit,353,55,45,5,Breakfast,TRUE,TRUE,Global
Protein pancakes with fruit,341,160,300,13,Breakfast,TRUE,TRUE,Global
Tofu scramble with whole-wheat toast and avocado,183,22.9,49,7,Breakfast,TRUE,TRUE,Global
Quinoa porridge with berries and nuts,362,16,36,12,Breakfast,TRUE,TRUE,Global
Overnight oats with berries and nuts,418,17,53,26,Breakfast,TRUE,TRUE,Global
Tofu scramble with whole wheat toast,290,31,39,27,Breakfast,TRUE,TRUE,Global
Vegan breakfast burrito with tofu and vegetables,526,25.4,72,14,Breakfast,TRUE,TRUE,Global
Tofu scramble with avocado and whole wheat toast,316,14,21,13,Breakfast,TRUE,TRUE,Global
Breakfast burrito with eggs and vegetables,255,52,38,8,Breakfast,TRUE,TRUE,Global
Oatmeal with protein powder,640,52,58,19,Breakfast,TRUE,TRUE,Global
Overnight oats with berries and chia seeds,240,5,54,5,Breakfast,FALSE,FALSE,Global
Smoothie with fruit and protein powder,255,53,55,29,Breakfast,TRUE,TRUE,Global
Tofu scramble with whole wheat toast and fruit,175,19,31,7,Breakfast,TRUE,TRUE,Global
Tofu and vegetable scramble with whole-wheat toast,441,29,45,35,Breakfast,TRUE,TRUE,Global
Tofu and vegetable scramble with wholegrain toast,383,27,39,34,Breakfast,TRUE,TRUE,Global
Oatmeal with berries and flax seeds,333,33,44,16,Breakfast,TRUE,TRUE,Global
Eggs with wholegrain toast and avocado,394,19,91,61,Breakfast,FALSE,TRUE,Global
